model,score_test_count,score_test_mean,score_test_std,score_test_min,score_test_25%,score_test_50%,score_test_75%,score_test_max,score_val_count,score_val_mean,score_val_std,score_val_min,score_val_25%,score_val_50%,score_val_75%,score_val_max
CatBoost,50.0,0.7394152777777776,0.07840180997883821,0.548611111111111,0.6820312499999999,0.7210648148148149,0.7944444444444445,0.9310185185185186,50.0,0.7356786616161615,0.05569528051060324,0.5961174242424243,0.7014283459595959,0.7319286616161615,0.7573784722222221,0.8786300505050505
ExtraTreesEntr,50.0,0.727394212962963,0.08773120314515637,0.5138888888888888,0.6874710648148148,0.7194444444444444,0.7802083333333334,0.9416666666666668,50.0,0.7228882575757575,0.05388352883626286,0.6134785353535354,0.6830216224747475,0.7279040404040402,0.7583451704545455,0.8410669191919192
ExtraTreesGini,50.0,0.7272937500000001,0.08574883456736636,0.5269097222222222,0.6873726851851851,0.7211458333333334,0.7723958333333332,0.9172222222222224,50.0,0.7223768939393941,0.0535701995806052,0.6092960858585857,0.6903014520202021,0.7224195075757576,0.7503945707070708,0.8334911616161617
LightGBM,50.0,0.7047782407407409,0.0886932063685874,0.5069444444444444,0.6562962962962963,0.6985532407407409,0.7633101851851852,0.9180555555555556,50.0,0.7363920454545455,0.06138835220029074,0.5820707070707071,0.7078993055555556,0.7311395202020201,0.7671243686868687,0.899463383838384
LightGBMLarge,50.0,0.6796671296296296,0.08914319593751921,0.4496527777777777,0.6118692129629629,0.6751157407407408,0.7402777777777778,0.9004629629629629,50.0,0.7315088383838383,0.05712096731796814,0.6024305555555555,0.699771148989899,0.7256155303030303,0.7644018308080808,0.883996212121212
LightGBMXT,50.0,0.7187175925925926,0.08000774506347628,0.5653935185185185,0.6625694444444445,0.7318287037037037,0.7766493055555556,0.8731481481481481,50.0,0.7405839646464648,0.05753421881006673,0.6005366161616161,0.7080965909090908,0.7392676767676769,0.7685842803030304,0.8814709595959597
NeuralNetFastAI,50.0,0.6944833333333333,0.08535505847344775,0.4809027777777777,0.6537731481481481,0.6822916666666667,0.7570601851851853,0.9,50.0,0.7314425505050505,0.06347991687053858,0.6155303030303031,0.6883285984848485,0.7188289141414141,0.7845249368686869,0.8524305555555557
NeuralNetTorch,50.0,0.6885814814814816,0.07933912081539442,0.4878472222222221,0.650462962962963,0.6845833333333333,0.7326388888888888,0.8828703703703704,50.0,0.7274842171717171,0.040917017468298615,0.6493055555555555,0.6968907828282828,0.7188289141414141,0.7576941287878788,0.8101325757575757
RandomForestEntr,50.0,0.7271236111111111,0.08395713026000894,0.5026041666666666,0.6838107638888888,0.7181944444444444,0.777662037037037,0.9205555555555556,50.0,0.7270896464646465,0.053892269825054975,0.6120580808080808,0.6910708648989898,0.7263257575757576,0.7640467171717172,0.8454071969696969
RandomForestGini,50.0,0.7275039351851852,0.08684304558942701,0.5034722222222222,0.6775173611111112,0.717042824074074,0.7721354166666665,0.9327777777777778,50.0,0.7231613005050506,0.05379231721804414,0.6059816919191919,0.6878156565656566,0.7248263888888888,0.7608112373737373,0.841540404040404
WeightedEnsemble_L2,50.0,0.6810291666666667,0.1675585084577549,0.1909722222222222,0.6583043981481482,0.7143518518518519,0.7933738425925927,0.9467592592592592,50.0,0.8084974747474747,0.04865269172615995,0.6810290404040403,0.7793166035353535,0.8083964646464645,0.8381470959595959,0.9105113636363636
XGBoost,50.0,0.7333898148148148,0.07472504070767545,0.5243055555555555,0.691550925925926,0.7361689814814816,0.7824305555555556,0.8962962962962964,50.0,0.7771590909090907,0.04794197718149684,0.6658775252525252,0.7485795454545454,0.7781723484848484,0.804135101010101,0.8738952020202021
