model,score_test_count,score_test_mean,score_test_std,score_test_min,score_test_25%,score_test_50%,score_test_75%,score_test_max,score_val_count,score_val_mean,score_val_std,score_val_min,score_val_25%,score_val_50%,score_val_75%,score_val_max
CatBoost,50.0,0.8528444904611827,0.03361907954281831,0.7710129310344828,0.8326235430791709,0.8556715215980719,0.8745163483566396,0.938436473727422,50.0,0.8374574812277241,0.02633766133111435,0.7960612823973148,0.8158619242880376,0.8396332918094052,0.8569100574414339,0.8901194678016541
ExtraTreesEntr,50.0,0.8915270400753924,0.03096967712150868,0.7923337438423644,0.8775530496020709,0.8904801631442344,0.908456486042693,0.9631824712643678,50.0,0.8763981452645421,0.02464136303934503,0.8229263988373301,0.8597959163811896,0.8730232880030451,0.8938923059621441,0.9315795961797988
ExtraTreesGini,50.0,0.8906063328742695,0.03280227590333193,0.7890817426108375,0.8780949946313805,0.8927833795155994,0.9110414100985222,0.9565116995073892,50.0,0.875223299249109,0.024128801242641676,0.830368265337901,0.857578873836465,0.8717894650333923,0.8949747396103671,0.926997906501955
KNeighborsDist,50.0,0.6092510384112859,0.05441111290841876,0.4850549055829228,0.5723516649893179,0.6040884547645533,0.6413206031392906,0.7264085591133004,50.0,0.5937848627980207,0.04419044138902441,0.4909198847710993,0.5624645857123084,0.5998801861656113,0.623796184556559,0.6723708000276826
KNeighborsUnif,50.0,0.6098263188154387,0.054423138444185344,0.4878450841543514,0.5734437348817911,0.6033732710617618,0.6468361009587372,0.7264085591133004,50.0,0.5975187939029032,0.04366855509744831,0.4919320305200871,0.5662195815599156,0.6065607806498494,0.6307860457974326,0.6732142548185059
LightGBM,50.0,0.8763593658959691,0.0354527552417036,0.7808394909688013,0.8536704555988135,0.8740061708776947,0.8985904063377297,0.9512905377668308,50.0,0.8630826326170455,0.02683946412789408,0.8002634174192877,0.8470854311567875,0.8597085971832936,0.8807008893041283,0.9235332537458044
LightGBMLarge,50.0,0.8599233368866642,0.03889264382832036,0.78751026272578,0.8346645081836961,0.8526581563289017,0.8891144550492611,0.9435806650246304,50.0,0.8447311758192325,0.027841264427984368,0.7756583272777605,0.8336528729367799,0.8450779006193987,0.8636614805010555,0.9133944946191908
LightGBMXT,50.0,0.8743474169933081,0.03866670890698102,0.7719494047619048,0.8475626233182372,0.8758898224658791,0.9007722701149425,0.9560498768472906,50.0,0.8636121492093152,0.026276879481645102,0.812335634451019,0.8435331888646665,0.8638339561922559,0.881150731859234,0.9216884667289524
NeuralNetFastAI,50.0,0.853120204106856,0.040005391299891536,0.7293590927750411,0.8345714815403359,0.8570091106520472,0.8730523994914986,0.9348958333333334,50.0,0.8353936122357175,0.030915487693912468,0.7506790892418422,0.8175774897055261,0.8329764870756774,0.8475623075192913,0.9279105678397176
NeuralNetTorch,50.0,0.8474501079793245,0.039732570235034036,0.7462156198686372,0.8213746714272472,0.8575772435642779,0.8680382096178294,0.9378136200716846,50.0,0.8423856794352748,0.025508941914195723,0.7845556939686494,0.8282450301048478,0.8406140783418111,0.8583255475968026,0.9221339838748746
RandomForestEntr,50.0,0.8859588773681516,0.032456337829029736,0.7943349753694582,0.8658970036151279,0.8913947596094426,0.9023145239916044,0.9433179723502304,50.0,0.872217248001661,0.026170081260135473,0.81918275718883,0.8554729402401468,0.8673824137513408,0.8973742603550297,0.9194241150212812
RandomForestGini,50.0,0.8854801203828769,0.03331933485918655,0.7827445094417077,0.8702098003237724,0.8880147777733637,0.9048913268380211,0.9523552955665024,50.0,0.8714689522128793,0.023752097782669533,0.8218374770753313,0.8552828925741375,0.8637739411398317,0.8923051511297968,0.9179783470016264
WeightedEnsemble_L2,50.0,0.7244693630047496,0.3221894963032431,0.0653735632183908,0.8382976303586878,0.8815760070713492,0.9056214080459771,0.962169027093596,50.0,0.8948960171632236,0.022957331179230874,0.843870030104848,0.8791404979411052,0.8922973113256514,0.9138005424063116,0.9514148413439912
XGBoost,50.0,0.8715016657617811,0.039245509847854326,0.7673568349753696,0.8533520628078818,0.8773668411330049,0.8938697318007663,0.9520474137931036,50.0,0.8599937714107755,0.027676109910228137,0.8091499705872177,0.8413083065157965,0.8567954340980656,0.8748161701096924,0.9203951693830236
