,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,cv_iter
0,CatBoost,0.7799999999999999,0.7193813131313131,0.0162186622619628,0.0129752159118652,15.451383352279665,0.0162186622619628,0.0129752159118652,15.451383352279665,1,True,6,0
1,RandomForestGini,0.7530555555555556,0.6927083333333334,0.0987365245819091,0.053098440170288,0.7535915374755859,0.0987365245819091,0.053098440170288,0.7535915374755859,1,True,4,0
2,RandomForestEntr,0.7399999999999999,0.6991003787878789,0.0720250606536865,0.0518567562103271,0.473494291305542,0.0720250606536865,0.0518567562103271,0.473494291305542,1,True,5,0
3,ExtraTreesEntr,0.7394444444444446,0.7032828282828283,0.0608353614807128,0.0543572902679443,0.4840445518493652,0.0608353614807128,0.0543572902679443,0.4840445518493652,1,True,8,0
4,ExtraTreesGini,0.7347222222222222,0.6988636363636364,0.065298318862915,0.0526371002197265,0.5045831203460693,0.065298318862915,0.0526371002197265,0.5045831203460693,1,True,7,0
5,LightGBMXT,0.7161111111111111,0.7518939393939394,0.0129659175872802,0.012963056564331,3.70916748046875,0.0129659175872802,0.012963056564331,3.70916748046875,1,True,2,0
6,XGBoost,0.7122222222222222,0.7967171717171717,0.0339088439941406,0.0071675777435302,2.573678731918335,0.0339088439941406,0.0071675777435302,2.573678731918335,1,True,9,0
7,WeightedEnsemble_L2,0.6911111111111111,0.8014520202020202,0.0558500289916992,0.0281803607940673,8.75838327407837,0.011967658996582,0.0029916763305664,3.635832071304321,2,True,12,0
8,NeuralNetTorch,0.6888888888888888,0.7094381313131314,0.0354125499725341,0.0137665271759033,1.5900416374206543,0.0354125499725341,0.0137665271759033,1.5900416374206543,1,True,10,0
9,LightGBM,0.6549999999999999,0.7492108585858586,0.0279223918914794,0.0099742412567138,3.2019906044006348,0.0279223918914794,0.0099742412567138,3.2019906044006348,1,True,3,0
10,LightGBMLarge,0.6477777777777778,0.7236426767676768,0.0099735260009765,0.0180211067199707,2.548872470855713,0.0099735260009765,0.0180211067199707,2.548872470855713,1,True,11,0
11,NeuralNetFastAI,0.6038888888888888,0.7345328282828282,0.0319156646728515,0.0369057655334472,7.518321514129639,0.0319156646728515,0.0369057655334472,7.518321514129639,1,True,1,0
12,NeuralNetFastAI,0.7338888888888889,0.7585227272727272,0.022228717803955,0.0279741287231445,2.754915237426758,0.022228717803955,0.0279741287231445,2.754915237426758,1,True,1,1
13,WeightedEnsemble_L2,0.7277777777777777,0.8601641414141414,0.1493992805480957,0.0837852954864502,34.03855848312378,0.0179522037506103,0.0049867630004882,3.621119976043701,2,True,12,1
14,ExtraTreesGini,0.7183333333333333,0.7468434343434344,0.0598607063293457,0.0541207790374755,0.4694340229034424,0.0598607063293457,0.0541207790374755,0.4694340229034424,1,True,7,1
15,RandomForestEntr,0.7122222222222222,0.7411616161616162,0.0771496295928955,0.0541756153106689,0.4743661880493164,0.0771496295928955,0.0541756153106689,0.4743661880493164,1,True,5,1
16,ExtraTreesEntr,0.6994444444444444,0.7532354797979798,0.0641529560089111,0.0567715167999267,0.4693639278411865,0.0641529560089111,0.0567715167999267,0.4693639278411865,1,True,8,1
17,RandomForestGini,0.6922222222222221,0.7567866161616162,0.0967328548431396,0.0534117221832275,0.5102753639221191,0.0967328548431396,0.0534117221832275,0.5102753639221191,1,True,4,1
18,XGBoost,0.6711111111111112,0.763415404040404,0.0229403972625732,0.0089836120605468,2.586933851242065,0.0229403972625732,0.0089836120605468,2.586933851242065,1,True,9,1
19,CatBoost,0.6683333333333333,0.7761994949494948,0.0079829692840576,0.0089247226715087,17.739116191864014,0.0079829692840576,0.0089247226715087,17.739116191864014,1,True,6,1
20,NeuralNetTorch,0.6516666666666667,0.7244318181818182,0.0219829082489013,0.0099735260009765,0.7533752918243408,0.0219829082489013,0.0099735260009765,0.7533752918243408,1,True,10,1
21,LightGBMXT,0.6177777777777776,0.7572601010101009,0.0249037742614746,0.0109710693359375,2.6762783527374268,0.0249037742614746,0.0109710693359375,2.6762783527374268,1,True,2,1
22,LightGBM,0.5872222222222222,0.7795138888888888,0.0139622688293457,0.0069808959960937,2.25540828704834,0.0139622688293457,0.0069808959960937,2.25540828704834,1,True,3,1
23,LightGBMLarge,0.5494444444444445,0.7750946969696969,0.0423498153686523,0.0159616470336914,4.3276896476745605,0.0423498153686523,0.0159616470336914,4.3276896476745605,1,True,11,1
24,ExtraTreesEntr,0.7671296296296296,0.7562342171717171,0.0618319511413574,0.0532186031341552,0.4730260372161865,0.0618319511413574,0.0532186031341552,0.4730260372161865,1,True,8,2
25,ExtraTreesGini,0.7631944444444444,0.7516571969696969,0.0585293769836425,0.0548169612884521,0.4657912254333496,0.0585293769836425,0.0548169612884521,0.4657912254333496,1,True,7,2
26,XGBoost,0.7347222222222222,0.7952967171717171,0.0219409465789794,0.0089788436889648,2.169081449508667,0.0219409465789794,0.0089788436889648,2.169081449508667,1,True,9,2
27,RandomForestEntr,0.7287037037037037,0.7654671717171717,0.0674786567687988,0.0531587600708007,0.467411994934082,0.0674786567687988,0.0531587600708007,0.467411994934082,1,True,5,2
28,RandomForestGini,0.725462962962963,0.7659406565656566,0.0987377166748046,0.0537688732147216,0.5050418376922607,0.0987377166748046,0.0537688732147216,0.5050418376922607,1,True,4,2
29,CatBoost,0.7226851851851852,0.7458964646464646,0.0089657306671142,0.0109469890594482,27.68566584587097,0.0089657306671142,0.0109469890594482,27.68566584587097,1,True,6,2
30,LightGBM,0.6939814814814816,0.7675189393939394,0.019946813583374,0.0131576061248779,2.372742891311645,0.019946813583374,0.0131576061248779,2.372742891311645,1,True,3,2
31,LightGBMXT,0.6902777777777778,0.7697285353535355,0.0245237350463867,0.0187208652496337,4.031669616699219,0.0245237350463867,0.0187208652496337,4.031669616699219,1,True,2,2
32,WeightedEnsemble_L2,0.649537037037037,0.8328598484848485,0.0777885913848877,0.0737805366516113,40.727962017059326,0.0109696388244628,0.0029909610748291,3.618726968765259,2,True,12,2
33,NeuralNetFastAI,0.6277777777777779,0.7989267676767676,0.0159649848937988,0.0209438800811767,2.8111507892608643,0.0159649848937988,0.0209438800811767,2.8111507892608643,1,True,1,2
34,NeuralNetTorch,0.6189814814814815,0.7350063131313131,0.0110111236572265,0.0099718570709228,1.95105504989624,0.0110111236572265,0.0099718570709228,1.95105504989624,1,True,10,2
35,LightGBMLarge,0.5624999999999999,0.7458964646464645,0.0089361667633056,0.0199480056762695,2.492281913757324,0.0089361667633056,0.0199480056762695,2.492281913757324,1,True,11,2
36,NeuralNetTorch,0.7967592592592592,0.6666666666666666,0.0219416618347167,0.0090208053588867,0.7775046825408936,0.0219416618347167,0.0090208053588867,0.7775046825408936,1,True,10,3
37,WeightedEnsemble_L2,0.7722222222222221,0.7803030303030303,0.0693726539611816,0.0389685630798339,8.998412132263184,0.0129663944244384,0.0029966831207275,3.64585018157959,2,True,12,3
38,LightGBMLarge,0.737037037037037,0.669665404040404,0.0119669437408447,0.0099742412567138,2.6870265007019043,0.0119669437408447,0.0099742412567138,2.6870265007019043,1,True,11,3
39,LightGBMXT,0.7310185185185185,0.7124368686868688,0.0134434700012207,0.0199241638183593,2.122385740280152,0.0134434700012207,0.0199241638183593,2.122385740280152,1,True,2,3
40,ExtraTreesGini,0.7273148148148149,0.7138573232323232,0.0610923767089843,0.0572507381439209,0.4724557399749756,0.0610923767089843,0.0572507381439209,0.4724557399749756,1,True,7,3
41,ExtraTreesEntr,0.7180555555555556,0.7047032828282829,0.0619258880615234,0.0545203685760498,0.4926586151123047,0.0619258880615234,0.0545203685760498,0.4926586151123047,1,True,8,3
42,RandomForestGini,0.7152777777777778,0.7013099747474746,0.0989091396331787,0.0545911788940429,0.5119791030883789,0.0989091396331787,0.0545911788940429,0.5119791030883789,1,True,4,3
43,RandomForestEntr,0.7115740740740741,0.6937342171717171,0.0738897323608398,0.0524063110351562,0.4650847911834717,0.0738897323608398,0.0524063110351562,0.4650847911834717,1,True,5,3
44,CatBoost,0.7097222222222221,0.6949179292929292,0.0124740600585937,0.0099756717681884,15.799206495285034,0.0124740600585937,0.0099756717681884,15.799206495285034,1,True,6,3
45,NeuralNetFastAI,0.6935185185185185,0.65625,0.0331771373748779,0.0279090404510498,2.453127384185791,0.0331771373748779,0.0279090404510498,2.453127384185791,1,True,1,3
46,XGBoost,0.6932870370370371,0.7446338383838383,0.0210211277008056,0.0070269107818603,2.452671527862549,0.0210211277008056,0.0070269107818603,2.452671527862549,1,True,9,3
47,LightGBM,0.6601851851851852,0.7010732323232324,0.027930736541748,0.01898193359375,2.8389315605163574,0.027930736541748,0.01898193359375,2.8389315605163574,1,True,3,3
48,XGBoost,0.8236111111111111,0.8364898989898989,0.038898229598999,0.0169932842254638,2.88705849647522,0.038898229598999,0.0169932842254638,2.88705849647522,1,True,9,4
49,NeuralNetTorch,0.8083333333333332,0.8016098484848485,0.0269269943237304,0.0130403041839599,1.952886819839477,0.0269269943237304,0.0130403041839599,1.952886819839477,1,True,10,4
50,WeightedEnsemble_L2,0.7749999999999999,0.8569286616161617,0.1147024631500244,0.0868434906005859,39.96762657165527,0.0119681358337402,0.0040259361267089,3.692272186279297,2,True,12,4
51,CatBoost,0.7708333333333334,0.8248106060606061,0.006981611251831,0.0109717845916748,24.84025382995605,0.006981611251831,0.0109717845916748,24.84025382995605,1,True,6,4
52,LightGBMXT,0.7680555555555556,0.844854797979798,0.0139694213867187,0.0179507732391357,2.818255424499512,0.0139694213867187,0.0179507732391357,2.818255424499512,1,True,2,4
