model,score_test_count,score_test_mean,score_test_std,score_test_min,score_test_25%,score_test_50%,score_test_75%,score_test_max,score_val_count,score_val_mean,score_val_std,score_val_min,score_val_25%,score_val_50%,score_val_75%,score_val_max
CatBoost,50.0,0.7394152777777776,0.07840180997883821,0.548611111111111,0.6820312499999999,0.7210648148148149,0.7944444444444445,0.9310185185185186,50.0,0.7356786616161615,0.05569528051060325,0.5961174242424243,0.7014283459595959,0.7319286616161615,0.7573784722222221,0.8786300505050505
ExtraTreesEntr,50.0,0.7281037037037037,0.08731918711885406,0.515625,0.6885416666666667,0.7213541666666667,0.7827256944444444,0.94,50.0,0.7228156565656565,0.0536728416372381,0.6225536616161617,0.6820943813131314,0.7248263888888891,0.756707702020202,0.8421717171717171
ExtraTreesGini,50.0,0.7273446759259258,0.08435453884505785,0.5286458333333334,0.6871093750000001,0.7202777777777778,0.7749565972222222,0.9111111111111112,50.0,0.7222316919191918,0.05314498089688905,0.6095328282828283,0.688900726010101,0.7228535353535355,0.7487768308080807,0.8287563131313131
LightGBM,50.0,0.7047782407407409,0.08869320636858741,0.5069444444444444,0.6562962962962963,0.6985532407407409,0.7633101851851852,0.9180555555555556,50.0,0.7363920454545455,0.06138835220029074,0.5820707070707071,0.7078993055555556,0.7311395202020201,0.7671243686868687,0.899463383838384
LightGBMLarge,50.0,0.6796671296296296,0.08914319593751921,0.4496527777777777,0.6118692129629629,0.6751157407407408,0.7402777777777778,0.9004629629629629,50.0,0.7315088383838383,0.05712096731796814,0.6024305555555555,0.699771148989899,0.7256155303030303,0.7644018308080808,0.883996212121212
LightGBMXT,50.0,0.7187175925925926,0.0800077450634763,0.5653935185185185,0.6625694444444445,0.7318287037037037,0.7766493055555556,0.8731481481481481,50.0,0.7405839646464648,0.05753421881006671,0.6005366161616161,0.7080965909090908,0.7392676767676769,0.7685842803030304,0.8814709595959597
NeuralNetFastAI,50.0,0.6897282407407408,0.08392275054890379,0.5121527777777778,0.6219328703703704,0.6965277777777777,0.7379340277777778,0.8861111111111111,50.0,0.7315924873737374,0.059328087297704106,0.6047979797979798,0.6913273358585859,0.732717803030303,0.7633759469696969,0.8862058080808081
NeuralNetTorch,50.0,0.6857305555555555,0.09462242984160744,0.4226851851851852,0.6417303240740742,0.6872685185185186,0.7431712962962963,0.8663194444444443,50.0,0.7383554292929293,0.049527208099892174,0.6401515151515151,0.7021780303030303,0.7380050505050506,0.7846827651515151,0.8260732323232323
RandomForestEntr,50.0,0.7282854166666667,0.08422400572728199,0.5017361111111112,0.6848524305555557,0.7135185185185184,0.7773263888888888,0.9355555555555556,50.0,0.7278409090909089,0.05340730410800687,0.6126893939393939,0.6920178345959596,0.727667297979798,0.7645991161616161,0.8481691919191919
RandomForestGini,50.0,0.727768287037037,0.08667864881466945,0.4973958333333333,0.6789351851851853,0.7201678240740741,0.7759114583333333,0.918888888888889,50.0,0.7234422348484848,0.054135862138616826,0.6022727272727273,0.6871843434343434,0.7307054924242424,0.759509154040404,0.8405934343434343
WeightedEnsemble_L2,50.0,0.7001069444444444,0.13279847848816514,0.2309027777777778,0.6740451388888888,0.7275,0.7743055555555555,0.8833333333333334,50.0,0.8137215909090909,0.04936043786208129,0.6851325757575758,0.790206755050505,0.8074494949494949,0.8394886363636364,0.9127209595959596
XGBoost,50.0,0.7317333333333333,0.07146722903672478,0.5243055555555555,0.6831018518518518,0.7355555555555555,0.7777604166666666,0.8802083333333334,50.0,0.7779166666666666,0.04779679197203466,0.6646148989898989,0.7570628156565655,0.7847222222222223,0.8009785353535354,0.8738952020202021
