,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,cv_iter
0,RandomForestGini,0.8838624338624338,0.6921041921041922,0.0826435089111328,0.0594456195831298,0.4180829524993896,0.0826435089111328,0.0594456195831298,0.4180829524993896,1,True,4,0
1,LightGBMXT,0.8835978835978836,0.6600529100529101,0.0189490318298339,0.011967658996582,1.9536263942718504,0.0189490318298339,0.011967658996582,1.9536263942718504,1,True,2,0
2,CatBoost,0.873015873015873,0.7181522181522181,0.0149605274200439,0.0156211853027343,18.04473161697388,0.0149605274200439,0.0156211853027343,18.04473161697388,1,True,6,0
3,ExtraTreesGini,0.8722222222222222,0.7361619861619862,0.0531346797943115,0.0468623638153076,0.4061543941497803,0.0531346797943115,0.0468623638153076,0.4061543941497803,1,True,7,0
4,RandomForestEntr,0.8629629629629628,0.6973951973951974,0.0623204708099365,0.049051284790039,0.4199328422546386,0.0623204708099365,0.049051284790039,0.4199328422546386,1,True,5,0
5,LightGBM,0.8592592592592593,0.693019943019943,0.0089304447174072,0.0179219245910644,1.996785879135132,0.0089304447174072,0.0179219245910644,1.996785879135132,1,True,3,0
6,ExtraTreesEntr,0.8568783068783069,0.7008038258038258,0.0640044212341308,0.0507795810699462,0.4057750701904297,0.0640044212341308,0.0507795810699462,0.4057750701904297,1,True,8,0
7,XGBoost,0.8444444444444444,0.7320919820919821,0.0478589534759521,0.0199487209320068,2.447530508041382,0.0478589534759521,0.0199487209320068,2.447530508041382,1,True,9,0
8,WeightedEnsemble_L2,0.8407407407407407,0.788970288970289,0.1512658596038818,0.1507089138031005,30.64864706993103,0.0252649784088134,0.0029928684234619,3.2910854816436768,2,True,12,0
9,NeuralNetFastAI,0.8164021164021165,0.7763532763532764,0.0235791206359863,0.0328259468078613,2.263094425201416,0.0235791206359863,0.0328259468078613,2.263094425201416,1,True,1,0
10,NeuralNetTorch,0.7873015873015873,0.7373829873829875,0.0119688510894775,0.0179500579833984,1.9727251529693604,0.0119688510894775,0.0179500579833984,1.9727251529693604,1,True,10,0
11,LightGBMLarge,0.7624338624338624,0.6463166463166463,0.0134272575378417,0.0165345668792724,2.674070119857788,0.0134272575378417,0.0165345668792724,2.674070119857788,1,True,11,0
12,NeuralNetFastAI,0.9343434343434344,0.866346153846154,0.0156207084655761,0.0306713581085205,2.3127543926239014,0.0156207084655761,0.0306713581085205,2.3127543926239014,1,True,1,1
13,RandomForestEntr,0.9172979797979798,0.8402777777777778,0.0781073570251464,0.0493206977844238,0.4298765659332275,0.0781073570251464,0.0493206977844238,0.4298765659332275,1,True,5,1
14,ExtraTreesEntr,0.9078282828282828,0.8291132478632478,0.0624849796295166,0.0624840259552001,0.4055118560791015,0.0624849796295166,0.0624840259552001,0.4055118560791015,1,True,8,1
15,WeightedEnsemble_L2,0.9071969696969696,0.8766025641025642,0.0781111717224121,0.072885513305664,33.588215589523315,0.0156216621398925,0.0,3.192619800567627,2,True,12,1
16,RandomForestGini,0.9021464646464646,0.8222756410256409,0.0781049728393554,0.0505485534667968,0.4775817394256592,0.0781049728393554,0.0505485534667968,0.4775817394256592,1,True,4,1
17,ExtraTreesGini,0.8942550505050506,0.8357905982905983,0.0468635559082031,0.0468635559082031,0.42177414894104,0.0468635559082031,0.0468635559082031,0.42177414894104,1,True,7,1
18,CatBoost,0.8535353535353535,0.8259615384615385,0.0156219005584716,0.0156214237213134,24.14812207221985,0.0156219005584716,0.0156214237213134,24.14812207221985,1,True,6,1
19,NeuralNetTorch,0.8522727272727272,0.8238247863247863,0.0156221389770507,0.0155863761901855,1.542543649673462,0.0156221389770507,0.0155863761901855,1.542543649673462,1,True,10,1
20,XGBoost,0.8465909090909091,0.8571581196581196,0.0156235694885253,0.0156214237213134,2.1022863388061523,0.0156235694885253,0.0156214237213134,2.1022863388061523,1,True,9,1
21,LightGBMXT,0.8055555555555557,0.8055555555555555,0.0156233310699462,0.0109713077545166,1.832432985305786,0.0156233310699462,0.0109713077545166,1.832432985305786,1,True,2,1
22,LightGBMLarge,0.798611111111111,0.7831196581196581,0.0624823570251464,0.0156242847442626,3.4020586013793945,0.0624823570251464,0.0156242847442626,3.4020586013793945,1,True,11,1
