model,score_test_count,score_test_mean,score_test_std,score_test_min,score_test_25%,score_test_50%,score_test_75%,score_test_max,score_val_count,score_val_mean,score_val_std,score_val_min,score_val_25%,score_val_50%,score_val_75%,score_val_max
CatBoost,50.0,0.8266559644059644,0.08276244145958057,0.6262626262626263,0.7700441919191919,0.840458152958153,0.8903860028860029,0.9621212121212124,50.0,0.797280525030525,0.06594963055514848,0.6363247863247863,0.7588141025641026,0.7938568376068376,0.8366185897435898,0.9553418803418804
ExtraTreesEntr,50.0,0.8210496031746031,0.09497751100431329,0.5647095959595959,0.7621527777777778,0.8120265151515151,0.8947285353535354,0.9785353535353536,50.0,0.7895086996336995,0.0669774344366035,0.6401709401709402,0.7489049145299145,0.7894497863247864,0.8434333028083028,0.9147970085470084
ExtraTreesGini,50.0,0.8121709355459358,0.0947359299341078,0.6016414141414141,0.7372159090909091,0.800189393939394,0.8821180555555556,0.9763257575757576,50.0,0.7835845034595036,0.06913236338786316,0.6284722222222222,0.7339203042328043,0.7711004273504275,0.8353098290598291,0.9428418803418804
LightGBM,50.0,0.7785980038480039,0.09579761285953813,0.4684343434343434,0.7229181697931698,0.7878787878787878,0.8431186868686869,0.9652777777777778,50.0,0.7669482091982092,0.06559972725047744,0.6402777777777778,0.7232905982905983,0.7621794871794871,0.7975961538461538,0.9268162393162394
LightGBMLarge,50.0,0.7388479437229438,0.09391927448177673,0.5625,0.6723484848484849,0.7477002164502164,0.8000315656565656,0.960858585858586,50.0,0.7469403235653236,0.0627695443771193,0.6038461538461538,0.720806623931624,0.7455662393162392,0.7891292735042735,0.8716880341880343
LightGBMXT,50.0,0.7807356902356902,0.09348944450973312,0.5119949494949495,0.7350063131313131,0.7906896344396344,0.8345959595959596,0.9640151515151516,50.0,0.770638074888075,0.0705101735798098,0.6159188034188033,0.7232905982905983,0.7685668498168499,0.810958485958486,0.9168803418803418
NeuralNetFastAI,50.0,0.763338023088023,0.09547798781182959,0.4949494949494948,0.6949404761904762,0.7679924242424243,0.8221560846560847,0.9501262626262628,50.0,0.7719603174603175,0.05862930275451088,0.6386752136752136,0.7239583333333333,0.7661324786324787,0.8122061965811966,0.8930555555555554
NeuralNetTorch,50.0,0.7657634680134681,0.1034078695729754,0.4955808080808081,0.7029671717171717,0.7875,0.8281881313131313,0.9614898989898992,50.0,0.7571537444037445,0.04967714993018849,0.6382478632478633,0.7239049145299145,0.7506105006105006,0.7834401709401709,0.889102564102564
RandomForestEntr,50.0,0.8302891414141415,0.09658011844811602,0.5684974747474746,0.7596275252525252,0.8279972342472344,0.9088541666666666,0.9741161616161615,50.0,0.7896607142857144,0.06948390159914401,0.6379273504273505,0.7493666056166057,0.7824252136752138,0.849866452991453,0.9361645299145298
RandomForestGini,50.0,0.8189798581048582,0.10172695833067259,0.5498737373737373,0.7517022907647908,0.8089676527176527,0.8983721139971141,0.9775883838383838,50.0,0.7810387159137159,0.07085531889953782,0.6227564102564102,0.7246527777777777,0.7786324786324786,0.8265186202686203,0.920138888888889
WeightedEnsemble_L2,50.0,0.7583588263588265,0.2008693827533808,0.046031746031746,0.7193512506012506,0.7926136363636364,0.8878592472342473,0.9482323232323232,50.0,0.8503480870980872,0.05488236490385674,0.7489316239316239,0.8185897435897436,0.8444444444444444,0.8879807692307693,0.9675213675213676
XGBoost,50.0,0.8005639730639732,0.0859645840514683,0.6461640211640212,0.7267992424242423,0.7893969456469456,0.8720914502164502,0.9431818181818182,50.0,0.7957659747659749,0.05225219850647131,0.6955128205128206,0.762633547008547,0.787767094017094,0.8264690170940172,0.9319444444444444
