,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,cv_iter
0,XGBoost,0.8143518518518519,0.6925925925925925,0.0435583591461181,0.0179455280303955,2.761427164077759,0.0435583591461181,0.0179455280303955,2.761427164077759,1,True,9,0
1,CatBoost,0.7361111111111112,0.7671296296296296,0.0179526805877685,0.0158970355987548,40.83243727684021,0.0179526805877685,0.0158970355987548,40.83243727684021,1,True,6,0
2,WeightedEnsemble_L2,0.7092592592592593,0.8146604938271604,0.2011804580688476,0.093930959701538,50.632957458496094,0.0139641761779785,0.0030322074890136,3.4441912174224854,2,True,12,0
3,RandomForestEntr,0.6854166666666668,0.6842592592592592,0.054333209991455,0.0540916919708251,0.4538702964782715,0.054333209991455,0.0540916919708251,0.4538702964782715,1,True,5,0
4,RandomForestGini,0.6652777777777777,0.7087962962962964,0.0984473228454589,0.0540568828582763,0.5358951091766357,0.0984473228454589,0.0540568828582763,0.5358951091766357,1,True,4,0
5,NeuralNetFastAI,0.663425925925926,0.6524691358024691,0.0374460220336914,0.0269267559051513,2.6953742504119877,0.0374460220336914,0.0269267559051513,2.6953742504119877,1,True,1,0
6,ExtraTreesGini,0.6625,0.6609567901234569,0.0607638359069824,0.0543906688690185,0.4510636329650879,0.0607638359069824,0.0543906688690185,0.4510636329650879,1,True,7,0
7,ExtraTreesEntr,0.6597222222222222,0.6606481481481482,0.0568056106567382,0.0548868179321289,0.4461832046508789,0.0568056106567382,0.0548868179321289,0.4461832046508789,1,True,8,0
8,NeuralNetTorch,0.6560185185185187,0.7333333333333334,0.0428838729858398,0.0129642486572265,2.51481032371521,0.0428838729858398,0.0129642486572265,2.51481032371521,1,True,10,0
9,LightGBMLarge,0.600462962962963,0.6432098765432098,0.0708162784576416,0.0209448337554931,5.820433855056763,0.0708162784576416,0.0209448337554931,5.820433855056763,1,True,11,0
10,LightGBM,0.5046296296296297,0.632716049382716,0.0568475723266601,0.024930715560913,6.32514238357544,0.0568475723266601,0.024930715560913,6.32514238357544,1,True,3,0
11,LightGBMXT,0.4726851851851851,0.6260802469135802,0.0827407836914062,0.0229756832122802,12.28014850616455,0.0827407836914062,0.0229756832122802,12.28014850616455,1,True,2,0
12,CatBoost,0.7523148148148149,0.7495370370370371,0.0139644145965576,0.018916368484497,41.34289717674256,0.0139644145965576,0.018916368484497,41.34289717674256,1,True,6,1
13,ExtraTreesEntr,0.7493055555555556,0.6905092592592593,0.059366226196289,0.0529742240905761,0.4472584724426269,0.059366226196289,0.0529742240905761,0.4472584724426269,1,True,8,1
14,RandomForestEntr,0.7474537037037038,0.7159722222222222,0.0603682994842529,0.0529489517211914,0.4609384536743164,0.0603682994842529,0.0529489517211914,0.4609384536743164,1,True,5,1
15,RandomForestGini,0.7465277777777778,0.7033179012345679,0.1057169437408447,0.0549898147583007,0.5135705471038818,0.1057169437408447,0.0549898147583007,0.5135705471038818,1,True,4,1
16,ExtraTreesGini,0.7287037037037036,0.6749999999999999,0.0594899654388427,0.0539355278015136,0.4482476711273193,0.0594899654388427,0.0539355278015136,0.4482476711273193,1,True,7,1
17,WeightedEnsemble_L2,0.7180555555555556,0.8223765432098765,0.0857706069946289,0.0897271633148193,52.34313702583313,0.0139632225036621,0.0029919147491455,3.4123682975769043,2,True,12,1
18,XGBoost,0.7171296296296297,0.8132716049382717,0.0299620628356933,0.0209448337554931,2.5437769889831543,0.0299620628356933,0.0209448337554931,2.5437769889831543,1,True,9,1
19,NeuralNetFastAI,0.7148148148148148,0.6658950617283951,0.0438816547393798,0.0299201011657714,3.0483851432800293,0.0438816547393798,0.0299201011657714,3.0483851432800293,1,True,1,1
20,LightGBM,0.6763888888888889,0.5645061728395062,0.0349066257476806,0.0327939987182617,4.7701334953308105,0.0349066257476806,0.0327939987182617,4.7701334953308105,1,True,3,1
21,LightGBMXT,0.6620370370370371,0.6243827160493827,0.0289225578308105,0.0289247035980224,2.8750836849212646,0.0289225578308105,0.0289247035980224,2.8750836849212646,1,True,2,1
22,LightGBMLarge,0.6263888888888888,0.5799382716049383,0.0149598121643066,0.0259299278259277,2.700838088989258,0.0149598121643066,0.0259299278259277,2.700838088989258,1,True,11,1
23,NeuralNetTorch,0.5861111111111111,0.7140432098765433,0.0129210948944091,0.0209441184997558,2.34325647354126,0.0129210948944091,0.0209441184997558,2.34325647354126,1,True,10,1
24,XGBoost,0.76125,0.793672839506173,0.0266454219818115,0.0179276466369628,2.287905216217041,0.0266454219818115,0.0179276466369628,2.287905216217041,1,True,9,2
25,NeuralNetTorch,0.6454166666666667,0.7401234567901235,0.0239360332489013,0.0204896926879882,4.186514139175415,0.0239360332489013,0.0204896926879882,4.186514139175415,1,True,10,2
26,RandomForestEntr,0.6125,0.766358024691358,0.0729882717132568,0.0541949272155761,0.4500291347503662,0.0729882717132568,0.0541949272155761,0.4500291347503662,1,True,5,2
27,ExtraTreesEntr,0.60875,0.7442129629629629,0.0561192035675048,0.0580761432647705,0.5177888870239258,0.0561192035675048,0.0580761432647705,0.5177888870239258,1,True,8,2
28,ExtraTreesGini,0.605,0.7483796296296297,0.0557150840759277,0.0520615577697753,0.516326904296875,0.0557150840759277,0.0520615577697753,0.516326904296875,1,True,7,2
